participant_id,fsm_type,task,test_order,trial_type,max_beta
87,easy,prediction,CEP,hidden_an,1.0000000000000018
88,easy,control,CPE,visible,-0.07999999999999918
88,easy,control,CPE,hidden,8.881784197001252e-16
88,easy,control,CPE,hidden_an,-0.0999999999999992
88,easy,explanation,CPE,visible,0.11000000000000099
88,easy,explanation,CPE,hidden,-0.07499999999999918
88,easy,explanation,CPE,hidden_an,-0.059999999999999165
88,easy,prediction,CPE,visible,0.015000000000001013
88,easy,prediction,CPE,hidden,0.30500000000000105
88,easy,prediction,CPE,hidden_an,1.0000000000000018
86,easy,control,ECP,visible,1.0000000000000018
86,easy,control,ECP,hidden,-0.40499999999999947
86,easy,control,ECP,hidden_an,-1.0
86,easy,explanation,ECP,visible,0.3550000000000013
86,easy,explanation,ECP,hidden,-0.11499999999999921
86,easy,explanation,ECP,hidden_an,-0.1999999999999993
86,easy,prediction,ECP,visible,0.1250000000000009
86,easy,prediction,ECP,hidden,-0.14999999999999925
86,easy,prediction,ECP,hidden_an,-1.0
85,easy,control,CPE,visible,1.0000000000000018
85,easy,control,CPE,hidden,-0.03499999999999914
85,easy,control,CPE,hidden_an,0.05000000000000093
85,easy,explanation,CPE,visible,-0.40499999999999947
85,easy,explanation,CPE,hidden,-0.13499999999999923
85,easy,explanation,CPE,hidden_an,-0.22999999999999932
85,easy,prediction,CPE,visible,0.08000000000000096
85,easy,prediction,CPE,hidden,0.30500000000000105
85,easy,prediction,CPE,hidden_an,0.8400000000000016
90,easy,control,PEC,visible,0.28000000000000114
90,easy,control,PEC,hidden,0.05000000000000093
90,easy,control,PEC,hidden_an,-0.18499999999999928
90,easy,explanation,PEC,visible,-0.14499999999999924
90,easy,explanation,PEC,hidden,-0.4249999999999995
90,easy,explanation,PEC,hidden_an,-0.3399999999999994
90,easy,prediction,PEC,visible,0.28000000000000114
90,easy,prediction,PEC,hidden,-0.049999999999999156
90,easy,prediction,PEC,hidden_an,0.04500000000000082
89,easy,control,CEP,visible,0.28500000000000103
89,easy,control,CEP,hidden,0.20500000000000096
89,easy,control,CEP,hidden_an,-0.10999999999999921
89,easy,explanation,CEP,visible,0.3400000000000012
89,easy,explanation,CEP,hidden,0.22000000000000108
89,easy,explanation,CEP,hidden_an,0.3500000000000012
89,easy,prediction,CEP,visible,-0.049999999999999156
89,easy,prediction,CEP,hidden,-0.12999999999999923
89,easy,prediction,CEP,hidden_an,-0.03999999999999915
91,easy,control,PEC,visible,1.0000000000000018
91,easy,control,PEC,hidden,-0.3399999999999994
91,easy,control,PEC,hidden_an,-1.0
91,easy,explanation,PEC,visible,-0.11999999999999922
91,easy,explanation,PEC,hidden,1.0000000000000018
91,easy,explanation,PEC,hidden_an,1.0000000000000018
